Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,Genres
Paint The Town Red,Paint The Town Red,Doja Cat,08-03-2023,USRC12301713,"3,678",22.4,"1,06,53,99,331","3,719","18,28,974",52,,,hip hop
BEST ON EARTH (feat. BIA) - Bonus,BEST ON EARTH (feat. BIA),Russ,10/18/2019,USSM11913145,"3,665",22.4,"23,61,21,136","50,891","75,53,724",60,"6,64,09,032","7,93,546",hip hop
Drunk (And I Don't Wanna Go Home),Drunk (And I Don't Wanna Go Home),Elle King,2/26/2021,USRC12100003,"3,676",22.4,"19,88,17,832","29,696","1,34,96,258",61,"7,24,94,045","5,89,638",hip hop
Overdrive,Overdrive,Post Malone,7/14/2023,USUM72306020,"3,669",22.4,"13,02,36,751","27,992","67,72,366",63,"97,21,972","1,04,453",hip hop
Cuando Nadie Ve,Cuando Nadie Ve,Morat,06-08-2018,ES5701800456,"3,673",22.4,"62,15,96,476","41,914","2,11,24,626",72,"76,13,91,767","34,04,496",hip hop
Freak (feat. REI AMI),Thrill Seeker,Sub Urban,3/13/2020,USWB12000170,"3,652",22.4,"19,31,03,080","47,712","82,25,689",62,"28,20,87,862","49,70,570",hip hop
Sugar Rush Ride,The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,1/27/2023,USA2P2243432,"3,672",22.4,"17,85,23,233","14,560","64,70,472",67,"14,07,63,661","23,94,273",hip hop
Me Escapï¿,Me Escapï¿,DobleP,09-07-2023,QZNJZ2368122,"3,654",22.4,"3,65,59,856","7,332","63,06,859",,"4,47,86,762","1,89,253",hip hop
Sakhiyaan,Sakhiyaan,Maninder Buttar,10/21/2018,FR96X1865569,"3,668",22.4,"17,74,96,669","14,789","23,84,549",65,"77,64,38,148","68,00,185",hip hop
Without You (feat. Sandro Cavazza),AVï¿½ï¿½CI ,Avicii,08-10-2017,SE5R71700101,"3,662",22.4,"1,07,41,75,360","1,35,290","2,92,77,394",73,"29,30,84,186","29,73,334",hip hop
Aynen,Hermano,Heijan,4/28/2023,QZMZ92307983,"3,663",22.4,"6,67,01,855","12,381","23,02,824",57,"13,26,63,199","4,08,097",hip hop
IDGAF,Dua Lipa (Deluxe),Dua Lipa,06-02-2017,GBAHT1600301,"3,675",22.4,"1,58,30,12,380","1,08,894","3,60,19,109",71,"22,36,07,979","20,45,247",hip hop
Maniac,Maniac,Conan Gray,10/25/2019,USUM71920712,"3,653",22.4,"84,52,22,205","1,09,624","3,33,27,204",71,"10,83,06,968","23,42,473",hip hop
Love Me Harder,So Fresh ï¿½ï¿½ï¿½ The Hits Of Summer 2015 + Best O,Ariana Grande,01-01-2014,USUM71409728,"3,655",22.4,"91,72,84,463","80,957","3,16,39,571",73,"93,01,61,541","55,13,057",hip hop
Si Supieras,Si Supieras,Daddy Yankee,6/28/2019,US2BU1900761,"3,677",22.4,"30,64,04,848","33,666","1,05,75,144",63,"60,53,70,523","29,87,290",hip hop
Love Someone,Love Someone,Lukas Graham,09-07-2018,USWB11801903,"3,674",22.4,"75,32,00,066","76,430","2,65,56,274",63,"27,72,22,671","14,04,539",hip hop
Dance Alone,Dance Alone,Sia,02-07-2024,USAT22400525,"3,660",22.4,"2,51,80,079","3,020","1,55,79,341",3,"44,05,480","64,658",hip hop
Suano,Suano - Single,NTG,3/24/2024,TCAIA2470789,"3,656",22.4,"1,53,33,864","1,439","3,53,68,637",71,"1,12,15,883","86,574",hip hop
Heart On Ice,Heart On Ice,Rod Wave,5/31/2019,USUYG1257043,"3,659",22.4,"32,01,36,804","70,340","85,92,699",62,"30,06,06,606","27,25,053",hip hop
POP/STARS,POP/STARS,K/DA,11-03-2018,NLRD51859885,"3,650",22.4,"35,29,99,804","49,066","68,20,467",64,"68,83,05,700","74,91,512",hip hop
Ring (feat. Kehlani),Invasion of Privacy,Cardi B,04-06-2018,USAT21801432,"3,671",22.4,"24,21,05,356","25,649","52,57,047",59,"32,77,05,174","29,07,887",hip hop
Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),Calvin Harris,5/27/2022,GBARL2201128,"3,657",22.4,"22,19,65,013","38,872","2,76,61,038",60,"5,10,83,768","5,50,181",hip hop
Pï¿½ï¿½gina De Ex - Ao Vivo N,Mari No Barzinho (Ao Vivo No RJ),Mari Fernandez,4/26/2024,BCZT72400033,"3,666",22.4,"1,38,42,105",920,"1,60,28,156",71,"1,86,63,230","85,838",hip hop
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,10-11-2011,USAT21102232,"3,679",22.4,"1,43,11,26,152","2,47,483","4,47,36,824",70,"85,05,33,301","67,82,649",hip hop
NEW MAGIC WAND,IGOR,"Tyler, The Creator",5/17/2019,USQX91901115,"3,703",22.3,"61,79,91,511","1,45,653","1,88,75,661",74,"10,07,52,374","11,94,201",hip hop
Taaron Ke Shehar,Taaron Ke Shehar,Neha Kakkar,9/20/2020,INS182006274,"3,686",22.3,"9,59,62,246","7,017","32,32,549",58,"66,36,81,127","58,39,475",hip hop
Monster,Monster,LUM!X,4/19/2019,ITV951900009,"3,704",22.3,"32,45,75,469","84,886","1,61,38,519",66,"8,44,90,948","8,34,256",hip hop
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/2024,USWL12400691,"3,684",22.3,"3,51,85,414","3,730","56,97,401",68,"1,49,26,797","1,44,331",hip hop
River (feat. Ed Sheeran),Revival,Eminem,12/15/2017,USUM71712944,"3,691",22.3,"83,04,10,811","95,470","1,85,64,708",67,"28,83,74,900","26,45,448",hip hop
Churchill Downs (feat. Drake),Come Home The Kids Miss You,Jack Harlow,05-06-2022,USAT22203487,"3,690",22.3,"15,38,57,576","59,992","1,12,39,045",61,"7,71,59,004","8,77,109",hip hop
Wide Awake,538 Hitzone 63,Katy Perry,01-01-2012,USCA21200932,"3,681",22.3,"44,79,97,798","47,976","3,57,49,050",73,"1,12,98,83,893","52,31,385",hip hop
Eyvah Neye Yarar,Karï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Semicenk,12/15/2023,DGA0Q2317098,"3,698",22.3,"2,72,35,294","2,618","7,67,611",,"7,45,11,800","2,33,751",hip hop
Lush Life,Lush Life,Zara Larsson,06-05-2015,SEWEE1500509,"3,687",22.3,"1,42,92,05,245","1,51,855","8,37,32,411",78,"15,60,15,402","15,40,316",hip hop
Kitty,Kitty,Kenia OS,4/23/2024,MXF012400293,"3,680",22.3,"2,30,61,213",703,"1,87,29,564",77,"1,88,69,254","3,60,829",hip hop
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,03-04-2023,INS182300550,"3,693",22.3,"18,45,80,310","10,142","54,12,622",64,"16,93,88,630","21,89,048",hip hop
Wildberry Lillet,Wildberry Lillet,Nina Chuba,08-12-2022,DEE862201008,"3,694",22.3,"16,11,45,820","46,697","76,54,058",58,"6,26,78,908","5,13,962",hip hop
Amapiano,Amapiano,Asake,5/23/2023,USUYG1489119,"3,701",22.3,"6,89,90,989","21,556","49,41,800",63,"2,90,14,150","2,37,930",hip hop
Hola Seï¿½ï¿½o,Ceinture noire (Transcendance),GIMS,4/25/2019,FR8FB1901430,"3,695",22.3,"20,82,49,257","42,423","59,69,962",58,"63,92,43,342","39,05,330",hip hop
M.A (Mejores Amigos),M.A (Mejores Amigos) - Single,BM,9/20/2022,QZTVM2225505,"3,697",22.3,"17,94,75,517","26,160","38,16,329",2,"16,27,85,261","6,22,557",hip hop
Take A Bite,Take A Bite,beabadoobee,05-09-2024,GBK3W2402961,"3,700",22.3,"1,86,34,348","2,529","2,80,16,380",78,"13,14,449","68,494",hip hop
Dream Girl - Remix,Dream Girl (Remix),Ir Sais,12-06-2019,USSD11900381,"3,699",22.3,"28,91,96,126","56,563","1,63,13,578",64,"40,36,07,329","23,63,349",hip hop
Me Enamorï¿,Me Enamorï¿,Shakira,01-01-2017,USSD11700088,"3,685",22.3,"38,89,86,035","32,035","1,13,67,243",61,"1,02,92,05,329","52,58,522",hip hop
Geri Dï¿½ï¿½nem,Geri Dï¿½ï¿½nem,Semicenk,05-05-2023,FRX452325278,"3,702",22.3,"11,11,50,894","11,465","65,57,932",67,"13,07,17,641","3,76,889",hip hop
Gimmie A Light,Gimmie A Light,Ice Spice,05-10-2024,USUG12400205,"3,692",22.3,"87,34,499","1,005","2,17,36,311",,"48,23,719","1,24,556",hip hop
on the street (with J. Cole),on the street (with J. Cole),j-hope,03-03-2023,USA2P2251898,"3,689",22.3,"18,36,83,364","21,804","1,56,69,021",63,"6,76,64,152","37,68,577",hip hop
LOST FOREVER,UTOPIA,Travis Scott,7/28/2023,USSM12305017,"3,683",22.3,"6,68,78,719","33,290","31,09,142",62,"28,66,171","33,960",hip hop
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee (feat. Lil Uzi Vert) [Radio Version],Migos,10/28/2016,QMCE31700918,"3,688",22.3,"93,64,50,891","1,317","3,19,309",40,"1,27,44,94,178","77,19,750",hip hop
What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,12-02-2016,USRN11600859,"3,696",22.3,"51,65,23,975","45,773","1,45,39,681",67,"40,77,84,529","20,47,661",hip hop
I Got Love,I Got Love,MiyaGi,5/15/2018,QZ22B1946607,"3,682",22.3,"13,64,56,221",235,"30,808",,"1,07,50,00,461","46,74,383",hip hop
SET ME FREE,READY TO BE,TWICE,03-10-2023,US5TA2300005,"3,705",22.3,"11,71,86,345","11,752","48,54,730",62,"13,76,33,324","24,97,620",hip hop
Say Something,Say Something,A Great Big World,11-04-2013,USSM11306713,"3,714",22.2,"1,06,45,34,331","1,16,991","5,73,90,894",65,"11,32,98,251","11,08,651",hip hop
Cake By The Ocean - Cover,TIK & TOK DANCE MIX,MUSIC LAB JPN,05-12-2023,TCJPV2340443,"3,707",22.2,"1,61,73,07,191",,,,,,hip hop
Por Dentro,Por Dentro,Rels B,11/23/2023,UYB282376016,"3,709",22.2,"10,57,59,424","7,383","1,08,19,131",,"5,26,09,155","6,29,604",hip hop
You Belong With Me,Fearless,Taylor Swift,01-01-2008,USCJY0803328,"3,720",22.2,"64,38,28,366","87,942","2,72,10,610",66,"1,60,07,13,698","1,02,33,607",hip hop
"Sex, Drugs, Etc.",Chit Chat,Beach Weather,11-04-2016,TCACS1642138,"3,731",22.2,"81,89,26,915","1,60,628","4,89,88,304",77,"8,58,79,643","11,19,551",hip hop
Tchuco Nela,Tchuco Nela,MC Rogerinho,04-08-2022,BCN5Z2200003,"3,727",22.2,"15,41,27,881","14,889","83,54,745",72,"23,36,59,337","11,67,552",hip hop
Californication,Californication (Deluxe Version),Red Hot Chili Peppers,06-08-1999,USWB19900690,"3,730",22.2,"1,40,53,53,677","2,76,377","11,53,15,508",79,"1,51,85,96,886","77,81,636",hip hop
La Mordidita,A Quien Quiera Escuchar (Deluxe Edition),Ricky Martin,02-10-2015,USSD11400352,"3,706",22.2,"30,15,74,752","35,991","1,19,57,152",61,"1,37,99,39,508","32,40,310",hip hop
Drowning (feat. Kodak Black),Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,03-10-2017,USAT21700435,"3,722",22.2,"92,19,36,314","40,536","39,70,533",56,"49,51,92,316","38,67,402",hip hop
One in a Million,One in a Million,Bebe Rexha,08-04-2023,USWB12303800,"3,734",22.2,"10,98,68,838","17,147","6,56,79,098",70,"62,56,696","55,646",hip hop
Playing Games,Playing Games,Summer Walker,8/23/2019,USUM71917221,"3,737",22.2,"17,73,69,022","26,786","57,11,358",58,"20,07,83,046","16,14,839",hip hop
Often,Ultimate R&B 2014,The Weeknd,01-01-2014,USUG11401323,"3,728",22.2,"98,23,99,328","1,42,822","4,06,28,124",73,"57,82,25,770","34,93,215",hip hop
Balanï¿½ï¿½o da ,Balanï¿½ï¿½o da ,Matheus Fernandes,2/24/2022,BCDE52200008,"3,719",22.2,"23,78,67,475","19,268","1,42,21,320",61,"30,23,41,579","12,18,262",hip hop
Better Things,Better Things - Single,aespa,8/18/2023,KRA302300242,"3,738",22.2,"7,24,46,983","7,731","56,25,254",60,"10,07,86,648","9,82,757",hip hop
CCC - Remix,CCC (Remix) - Single,Michelle Maciel,09-01-2023,UYB282379019,"3,715",22.2,"12,78,18,826","8,847","50,73,881",,"7,97,64,064","3,03,155",hip hop
Carnival,Carnival Pack - EP,Kanye West,02-08-2024,QZA742422174,"3,711",22.2,"46,53,20,426",324,"2,28,188",,,,hip hop
Swag Se Swagat,Tiger Zinda Hai (Original),Neha Bhasin,12-12-2017,INY091700034,"3,716",22.2,"2,23,17,486","4,244","25,98,110",50,"1,17,92,53,796","54,77,479",hip hop
SEVILLA,SEVILLA,Thrife,08-12-2022,SE6XW2288884,"3,725",22.2,"2,60,54,526","23,652","10,11,837",41,"15,00,755","20,564",hip hop
Chana Tera Shukriya,Jogiya Koe,Tanveer Anjum,7/15/2023,DGA062354084,"3,717",22.2,"9,015",4,95,6,,,hip hop
Caramelo - Remix,Caramelo (Remix),Leoo Remix,10-01-2020,QZNJV2032699,"3,733",22.2,"1,44,767",82,"2,477",,"69,77,19,336","31,67,472",hip hop
GHOST!,GHOST!,phonk.me,12-02-2022,QZTB22273485,"3,713",22.2,"12,70,80,399","24,672","1,58,50,206",67,"6,24,72,711","8,83,285",hip hop
CUTE DEPRESSED,Cute Depressed - Single,Dyan Dxddy,02-02-2024,QZZ662413549,"3,726",22.2,"5,44,77,192","3,729","2,12,77,335",77,"3,63,26,774","8,90,834",hip hop
Inolvidable,Inolvidable,Ovy On The Drums,1/15/2020,USWL12000002,"3,712",22.2,"25,61,33,319","38,487","87,31,809",65,"51,50,07,268","29,00,662",hip hop
Lioness,Lioness,Swedish House Mafia,06-07-2024,USUG12403371,"3,710",22.2,"24,80,498",776,"4,91,44,891",,"1,44,589","5,727",hip hop
Zombie,Zombie,Bad Wolves,1/19/2018,USDPK1800004,"3,718",22.2,"39,12,35,723","77,293","82,25,027",6,"13,33,38,318","14,07,929",hip hop
NI BIEN NI MAL,X 100PRE,Bad Bunny,12/23/2018,QM7281884659,"3,735",22.2,"46,11,99,840","57,617","1,49,66,162",61,"45,71,34,135","37,45,990",hip hop
MAï¿½ï¿½ANA SERï¿½ï¿,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/23/2023,USUM72222550,"3,721",22.2,"13,28,11,353","12,970","48,05,498",66,"5,36,70,834","5,69,439",hip hop
My Heart Goes (La Di Da),Only Honest On The Weekend,Becky Hill,8/20/2021,GBUM72102422,"3,736",22.2,"30,03,61,628","57,447","2,36,19,962",63,"7,37,52,014","4,82,554",hip hop
Candy Shop,Candy Shop,50 Cent,01-01-2005,USIR10500072,"3,732",22.2,"95,48,07,024","2,19,091","6,92,58,950",75,"1,23,01,74,677","80,16,633",hip hop
ONLY,ONLY,LeeHi,8/27/2021,KRC712100039,"3,724",22.2,"33,52,12,411","50,340","77,77,287",71,"15,43,69,917","19,63,254",hip hop
Avalon,Avalon,$uicideboy$,5/21/2021,QZAPK2000176,"3,723",22.2,"20,46,69,341","54,797","39,40,409",65,"4,90,01,959","4,41,894",hip hop
Puro Campeï¿½,Puro Campeï¿½ï¿½n - Si,Grupo Marca Registrada,10/14/2022,USA2P2243895,"3,708",22.2,"16,29,96,272","20,521","50,76,875",61,"13,78,34,966","7,08,557",hip hop
Esperï¿½ï¿½n,Esperï¿½ï¿½n,Manuel Turizo,12-07-2017,USQX91702666,"3,729",22.2,"33,31,06,545","25,970","72,53,202",59,"98,24,37,656","29,44,717",hip hop
Gas Pedal,Gas Pedal - The EP,Sage The Gemini,3/19/2013,USUYG1027384,"3,751",22.1,"25,39,03,241","57,350","1,22,02,121",59,"2,55,39,550","3,21,940",Disco
Landmines,Landmines,Sum 41,9/27/2023,QMRSZ2302172,"3,748",22.1,"1,87,08,085","6,754","70,14,623",,"68,01,971","1,45,932",Rock
Flowers,Flowers (Official Video),Miley Cyrus,01-12-2023,USSM22202811,"3,752",22.1,"2,03,12,80,633",1,92,,,,pop
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",Tyler ICU,4/28/2023,ZB1OS2300183,"3,747",22.1,"5,46,11,633","19,814","48,52,560",61,"2,56,26,713","2,41,463",jazz
DANCE CRIP,DANCE CRIP,Trueno,11/17/2021,ARRWN2000082,"3,754",22.1,"26,52,53,887","50,642","52,59,227",61,"18,66,89,501","24,29,799",Rock
stellar,stellar,.diedlonely,6/23/2023,QM3DF2222961,"3,742",22.1,"4,42,35,866","6,022","12,68,699",66,"56,98,615","1,42,632",pop
En Tu Perra Vida,En Tu Perra Vida,Grupo Firme,05-12-2021,QZDQH2143285,"3,740",22.1,"26,51,26,606","24,857","1,37,63,202",53,"33,63,27,870","16,17,604",jazz
Malibu,Malibu,Miley Cyrus,05-11-2017,USRC11700814,"3,763",22.1,"81,00,44,838","87,422","3,39,51,824",68,"54,17,04,571","39,88,386",hip hop
Skin and Bones,Skin and Bones,David Kushner,1/19/2024,QZXDB2300047,"3,744",22.1,"7,03,54,552","9,185","89,22,438",,"1,91,23,011","3,68,576",Rythem
Shut up My Moms Calling - (Sped Up),Shut up My Moms Calling (Sped up),Hotel Ugly,9/14/2022,SE6XY2215995,"3,746",22.1,"42,82,90,193","54,042","77,15,768",75,,,Blues
Spinnin,Spinnin,Connor Price,10/21/2022,QZTAS2238500,"3,741",22.1,"16,42,06,429","49,659","1,29,99,272",63,"1,24,84,960","1,63,647",Rock
Baby Shark,Baby Shark & More Kids Songs,Super Simple Songs,3/24/2017,TCADE1784654,"3,749",22.1,"5,39,80,875","4,005","6,31,145",55,"1,06,50,36,315","14,87,277",pop
BARBIEZ,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/2023,QZ9QQ2300783,"3,759",22.1,"9,01,49,537","6,289","72,79,462",,"6,14,33,874","2,91,107",jazz
Coladin,Indï¿½ï¿½,Zï¿½ï¿½ Vaqu,10/27/2022,BCZZV2200032,"3,760",22.1,"6,81,10,254","5,563","97,39,787",62,"22,02,38,857","10,27,402",hip hop
"Coca Cola (From ""Luka Chuppi"")","Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,02-04-2019,INS181900274,"3,757",22.1,"8,48,90,640","8,746","50,16,334",59,"93,95,13,536","36,29,985",Rythem
Los Botones Azules,Mi Vida En Un Cigarro 2,Junior H,02-11-2022,USWL12200130,"3,758",22.1,"40,96,08,018","35,760","1,37,77,862",70,"14,40,73,017","7,44,920",Blues
All By Myself,All By Myself,Alok,10-07-2022,DEE862201655,"3,764",22.1,"15,34,78,699","23,576","3,56,26,223",68,"88,34,684","1,03,744",Folk Music
Dj Balada Boa X Pika Pika Kawenimeri,Dj Balada Boa X Pika Pika Kawenimeri,DJ USUP,03-02-2022,SGB502208098,"3,762",22.1,"3,02,568",285,"25,137",7,,,Disco
Joli bï¿½ï¿,Joli bï¿½ï¿,Naza,09-11-2020,FRX762022181,"3,755",22.1,"13,16,77,140","35,653","22,05,297",57,"19,84,94,925","10,95,673",Rock
Time of Our Lives,Time of Our Lives,Pitbull,11/17/2014,USRC11402647,"3,739",22.1,"1,28,36,83,926","2,03,125","10,35,28,914",79,"35,16,33,773","22,43,784",pop
Blood // Water,Blood / / Water,grandson,10/27/2017,TCADI1720999,"3,745",22.1,"65,89,66,178","1,32,079","1,83,02,636",68,"21,84,93,561","30,16,621",jazz
Famous Hoes,Famous Hoes,NLE Choppa,12-10-2019,USWB11903266,"3,753",22.1,"12,66,80,278","37,176","25,55,897",54,"11,40,34,780","10,82,538",Rock
AMOR PROPIO,AMOR PROPIO,Grupo Frontera,10/19/2023,DGA0H2357875,"3,756",22.1,"5,95,82,290","3,988","54,90,306",,"7,21,57,125","3,63,308",pop
Wreckage,Wreckage,Pearl Jam,4/17/2024,USUG12309753,"3,750",22.1,"62,47,901",887,"1,57,77,506",,"6,63,933","13,751",pop
This Town,This Town,Niall Horan,9/29/2016,USUG11601029,"3,743",22.1,"95,78,10,500","1,07,486","7,36,87,531",74,"17,43,70,096","28,56,158",pop
Maybe Youï¿½ï¿½ï¿½re The P,Maybe Youï¿½ï¿½ï¿½re The P,Ava Max,4/28/2022,USAT22203651,"3,761",22.1,"18,16,59,395","24,137","1,09,25,511",62,"5,06,40,948","4,70,130",pop
Lil Bit,Lil Bit,Nelly,10/23/2020,USQX92003343,"3,792",22,"25,08,28,412","40,989","1,04,01,884",61,"4,78,11,498","4,51,406",pop
Nenas,Nenas,Anni K,11/25/2022,QZNW72249626,"3,790",22,"22,362",5,"22,387",10,"31,24,22,708","11,33,105",pop
Rainy Days,Layover,V,08-11-2023,USA2P2339028,"3,776",22,"25,35,40,909","10,383","1,39,43,814",70,"6,71,13,019","34,32,701",pop
Disaster,Disaster - Single,KSLV Noh,6/21/2021,QZHNC2184834,"3,784",22,"25,83,79,092","72,424","2,39,39,335",65,"5,45,40,038","10,19,009",pop
Feelings,Feelings,Sumit Goswami,07-07-2020,INS172001990,"3,773",22,"4,20,67,554","4,380","4,26,039",54,"69,82,86,046","75,44,844",pop
Trouble With A Heartbreak,Trouble With A Heartbreak,Jason Aldean,1/14/2022,QMRSZ2102055,"3,770",22,"5,44,88,988","10,962","13,79,201",4,"2,95,52,269","2,23,336",pop
Los Collares,Los Collares,Oscar Maydon,9/30/2022,USANG2210588,"3,769",22,"33,27,41,927","23,892","91,22,511",72,"15,08,88,295","6,09,166",pop
BLAQ ON BLAQ (feat. Luciano),BLAQ ON BLAQ (feat. Luciano),HoodBlaq,5/30/2024,DEKF22400486,"3,772",22,"80,33,479","1,347","76,18,938",70,"12,47,875","50,363",pop
Memories (feat. Kid Cudi),VIVA Club Rotation (Vol. 46),Kid Cudi,12-05-2008,FRZID0900480,"3,778",22,"92,39,32,404","2,61,469","5,39,41,189",63,"58,92,02,937","32,97,320",pop
It's That Time,It's That Time,Marlon Hoffstadt,4/21/2023,QM4TX2371595,"3,789",22,"2,93,65,536","28,087","1,85,22,511",62,"35,02,786","57,445",pop
Do Not Climb,Do Not Climb,Claps,3/16/2023,AUXN22297509,"3,780",22,"2,723",11,237,,"25,07,77,729","3,29,563",pop
Mï¿½ï¿½lanine (feat. Were,Mï¿½ï¿½la,Heuss L'enfoirï¿,05-03-2024,FRPZ92417040,"3,786",22,"1,45,00,608","1,528","67,68,397",71,"77,66,177","77,814",pop
Bakkal Amca,Bakkal Amca,Kukuli,05-10-2021,QZHN62167502,"3,775",22,"57,55,295",850,"54,262",36,"56,54,93,630","15,45,650",pop
Martes 13,Martes 13 - Single,Luis R Conriquez,5/17/2024,QM6N22452000,"3,768",22,"1,28,09,544",967,"1,12,44,203",,"71,24,556","79,550",pop
Jom ka du me tï¿½ï¿,Jom ka du me tï¿½ï¿,Dafina Zeqiri,5/31/2024,QZNFJ2402633,"3,791",22,"11,96,257",208,"5,67,656",57,"70,23,287","34,395",pop
BellaBella,Bella Bella (feat. Scelo),Vanco,2/23/2017,ZA4MG1700001,"3,783",22,"3,835",12,142,1,"1,43,86,04,417","62,79,411",pop
Long Journey,Nostalgia,Rod Wave,9/15/2023,USQX92305193,"3,765",22,"2,62,15,354","6,248","5,24,752",,"1,68,85,737","1,35,693",pop
Die A Happy Man,Die a Happy Man - Single,Thomas Rhett,01-01-2015,USLXJ1507199,"3,782",22,"62,21,98,235","53,548","2,20,66,757",66,"28,17,39,663","11,38,264",pop
Dah Dah DahDah,Who is Nardo Wick?? (Deluxe),Nardo Wick,7/22/2022,USRC12202590,"3,766",22,"14,22,62,820","53,038","2,02,72,136",63,"3,56,75,859","3,73,352",pop
Cab In A Solo,Cab In A Solo - Single,Scotty McCreery,8/18/2023,USQX92304263,"3,787",22,"1,16,14,161","2,375","23,11,705",55,"31,13,363","29,826",pop
Sï¿½ï¿½,Sï¿½ï¿½,Anuel AA,11/18/2021,QMDA62184373,"3,771",22,"20,07,64,254","45,002","97,37,159",57,"21,78,98,959","11,01,215",pop
Bachke Bachke (feat. Yarah),Making Memories,Karan Aujla,8/18/2023,CAW112300246,"3,779",22,"5,33,03,131","6,899","23,94,704",61,"7,88,46,057","6,71,469",pop
Fed Up,ANTI-ICON,Ghostemane,10/21/2020,ZZOPM2003235,"3,785",22,"21,98,41,054","71,843","1,01,01,641",64,"12,86,86,770","26,38,466",pop
Slide,Slide,H.E.R.,9/27/2019,USRC11902505,"3,781",22,"22,45,29,894","50,674","75,20,303",53,"26,80,61,194","22,37,400",pop
"Udd Jaa Kaale Kaava (From ""Gadar 2"")","Udd Jaa Kaale Kaava (From ""Gadar 2"") - Single",Udit Narayan,6/29/2023,INZ031413259,"3,774",22,"45,27,224",392,"3,29,325",,"17,96,86,266","26,33,829",pop
Be The One,Be The One,Eli Brown,3/31/2023,GBUM72302199,"3,777",22,"7,53,09,953","34,283","3,93,25,226",67,"99,63,983","1,11,125",pop
Top 10 staTues tHat CriEd bloOd,POST HUMAN: NeX GEn,Bring Me The Horizon,5/24/2024,GBARL2400277,"3,788",22,"1,33,30,547","1,675","2,10,53,939",73,"35,472","3,979",pop
This City,Not a Hobby,Sam Fischer,1/19/2018,TCADL1840559,"3,767",22,"63,34,67,655","74,321","3,20,15,799",63,"2,64,34,293","2,60,550",pop
Os Bico Tï¿½ï¿½o Se Perguntando (Letï¿½ï¿½,Os Bico Tï¿½ï¿½o Se Perguntando (Letï¿½ï¿½,MC PH,04-07-2023,BXG6R2300280,"3,801",21.9,"13,19,81,248","15,020","1,20,49,822",65,"12,79,60,114","7,14,022",pop
Last Time I Saw You,Last Time I Saw You,Nicki Minaj,09-01-2023,USUM72312706,"3,818",21.9,"6,65,13,420","12,490","49,73,699",,"1,54,85,803","3,95,896",pop
Precision,Precision,Big Sean,3/22/2024,USUM72400673,"3,795",21.9,"75,69,031","2,152","1,02,80,933",,"19,37,815","74,131",pop
Did Me Wrong,B4 BOA - Single,A Boogie Wit da Hoodie,09-08-2023,USAT22308669,"3,820",21.9,"3,29,16,107","13,096","1,28,43,743",,"1,08,40,662","1,67,538",pop
Cry No More (feat. Tay Keith),Cry No More (feat. Tay Keith),Headie One,4/19/2024,GBARL2400420,"3,804",21.9,"1,37,12,090","3,148","1,40,42,635",,"38,89,395","76,350",pop
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý (Fade),ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý (Fade) - Single,Jeff Satur,9/23/2022,THW092201719,"3,811",21.9,"4,14,94,349","6,516","11,69,599",52,"26,72,16,988","17,57,325",pop
Get Back,Meet The Woo 2,Pop Smoke,02-07-2020,USUM72002036,"3,800",21.9,"35,51,37,565","1,23,588","1,03,15,713",64,"4,51,64,581","4,08,483",pop
Panic Room,Panic Room,Au/Ra,02-09-2018,GBARL1702250,"3,821",21.9,"25,63,61,762","54,160","1,14,03,808",63,"18,34,09,458","27,21,404",pop
DJ BIWIR BEUREUM-BEUREUM JAWER HAYAM PANO COKLAT KOPI SUSU - RUNTAH,DJ BIWIR BEUREUM-BEUREUM JAWER HAYAM PANO COKLAT KOPI SUSU - RUNTAH,DJ MANIKCI REMIX,8/16/2022,HKK972235335,"3,810",21.9,"51,01,261","1,599","4,27,725",,,,pop
2002,NOW That's What I Call Music! 100,Anne-Marie,7/20/2018,GBAHS1800484,"3,807",21.9,,116,"1,63,402",,"1,07,48,10,575","90,84,288",pop
